Message,PartPlace,VacuumAN
WX31D79H32H2,0.99,6.587
WX31D79H3J6H,1.008,4.712
WX31D79H3HTN,1.026,6.812
WX31D79H3HJ2,1.026,6.812
WX31D79H3FEP,1.044,6.763
WX31D79H33LN,1.044,6.763
WX31D79H3Y9V,1.026,6.812
WX31D79H3ZEZ,1.008,4.712
WX31D79H3CRK,1.026,6.812
WX31D79H3D32,1.044,6.763
WX31D79H3XJE,1.026,6.812
WX31D79H3JCV,1.008,4.712
WX31D79H36A5,1.008,4.712
WX31D79H3D5J,1.044,6.763
WX31D79H3L4Y,1.008,4.712
WX31D79H3JUX,1.008,4.712
WX31D79H33PD,1.026,6.812
WX31D79H3C1H,1.008,4.712
WX31D79H3TKK,1.026,6.812
WX31D79H3AFJ,0.99,6.587
WX31D79H3972,1.008,4.712
WX31D79H33J6,1.026,6.812
WX31D79H31DR,1.044,6.763
WX31D79H35C2,0.99,6.587
WX31D79H3LYE,1.026,6.812
WX31D79H3U89,1.008,4.712
WX31D79H3L00,1.008,4.712
WX31D79H39X8,1.026,6.812
WX31D79H3V4K,1.008,4.712
WX31D79H30F6,1.026,6.812
WX31D79H3TKN,1.008,4.712
WX31D79H3C4Y,0.99,6.587
WX31D79H3KTC,1.044,6.763
WX31D79H3ZD9,1.026,6.812
WX31D79H3DUX,1.044,6.763
WX31D79H3L71,1.044,6.763
WX31D79H3UN5,1.008,4.712
WX31D79H3FA7,1.008,4.712
WX31D79H37JZ,1.044,6.763
WX31D79H3Z15,1.026,6.812
WX31D79H35P7,1.026,6.812
WX31D79H3JU2,1.044,6.763
WX31D79H30DC,1.044,6.763
WX31D79H30RL,1.044,6.763
WX31D79H3KSE,1.026,6.812
WX31D79H3JZJ,1.044,6.763
WX31D79H3RU4,1.026,6.812
WX31D79H363X,1.044,6.763
WX31D79H3KVY,1.008,4.712
WX31D79H3C31,1.008,4.712
WX31D79H3X9H,0.99,6.587
WX31D79H3H16,1.008,4.712
WX31D79H3Y5S,1.026,6.812
WX31D79H3VA5,0.99,6.587
WX31D79H3L8P,1.008,4.712
WX31D79H3K3E,1.044,6.763
WX31D79H37ER,1.044,6.763
WX31D79H37VJ,1.044,6.763
WX31D79H39A8,1.026,6.812
WX31D79H3XAV,1.044,6.763
WX31D79H3LT8,1.026,6.812
WX31D79H3065,1.026,6.812
WX31D79H36E5,1.026,6.812
WX31D79H3DFD,1.044,6.763
WX31D79H363S,1.008,4.712
WX31D79H3V35,0.99,6.587
WX31D79H3X22,0.99,6.587
WX31D79H3KTF,1.044,6.763
WX31D79H3VV8,1.008,4.712
WX31D79H37CE,1.044,6.763
WX31D79H3SD3,1.026,6.812
WX31D79H3ULV,1.044,6.763
WX31D79H3EKN,1.044,6.763
WX31D79H3K64,1.026,6.812
WX31D79H3VT5,1.026,6.812
WX31D79H3P14,1.026,6.812
WX31D79H3Z8R,1.008,4.712
WX31D79H3VHS,1.044,6.763
WX31D79H35HV,1.044,6.763
WX31D79H3PTF,1.026,6.812
WX31D79H3CDF,1.026,6.812
WX31D79H34XE,1.026,6.812
WX31D79H3FSE,1.008,4.712
WX31D79H381F,1.026,6.812
WX31D79H34V3,0.99,6.587
WX31D79H3990,0.99,6.587
WX31D79H3V4V,1.026,6.812
WX31D79H3TV3,1.026,6.812
WX31D79H3N0Y,0.972,6.587
WX31D79H35R6,1.008,4.712
WX31D79H3HV4,1.008,4.712
WX31D79H3E1F,0.99,6.587
WX31D79H37SY,0.99,6.587
WX31D79H31RT,1.026,6.812
WX31D79H3NRX,1.044,6.763
WX31D79H30E0,1.008,4.712
WX31D79H3T3A,1.008,4.712
WX31D79H3HDD,1.008,4.712
WX31D79H3YNU,1.008,4.712
WX31D79H3Z9H,1.008,4.712
WX31D79H31LA,1.026,6.812
WX31D79H3A4U,1.044,6.763
WX31D79H379N,1.008,4.712
WX31D79H3819,0.99,6.587
WX31D79H3YHA,1.026,6.812
WX31D79H3JSS,0.972,6.587
WX31D79H3581,1.008,4.712
WX31D79H3R1R,1.026,6.812
WX31D79H3605,1.008,4.712
WX31D79H3ZXP,1.044,6.763
WX31D79H3YPA,1.044,6.763
WX31D79H3J8E,1.008,4.712
WX31D79H36Z5,0.99,6.587
WX31D79H3TLD,1.026,6.812
WX31D79H3X4R,1.008,4.712
WX31D79H3T95,1.008,4.712
WX31D79H3J1Z,1.044,6.763
WX31D79H3051,1.044,6.763
WX31D79H35U9,1.044,6.763
WX31D79H3FN2,1.026,6.812
WX31D79H3UC1,1.008,4.712
WX31D79H3A3T,1.026,6.812
WX31D79H3SUN,1.008,4.712
WX31D79H3214,1.044,6.763
WX31D79H33N9,0.99,6.587
WX31D79H3NYN,1.044,6.763
WX31D79H31JD,1.026,6.812
WX31D79H39RD,1.026,6.812
WX31D79H3KS3,1.026,6.812
WX31D79H37KU,1.008,4.712
WX31D79H3S71,1.026,6.812
WX31D79H3F5J,0.99,6.587
WX31D79H3U33,1.026,6.812
WX31D79H3FPP,1.026,6.812
